Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000242405921408765,3.63569901329319E-05,0.0437557421438179,0,0,0,0.781494901434733,0.000437909990873273,-1.31360076768376E-05,1.00361164903587E-06,0.000697394717107935,9.36130289849275E-07,0.000866817356521347,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-2.76106082915141E-05,0.000605199298337247,0.0394132418401337,0,0,0,0.517866725204086,0.000169412598088205,-1.79663426744652E-07,8.24574806383139E-08,0.000200710736742447,-1.13600047285699E-07,0.000165035452850553,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link1.STL,,link1-1,link1,axis1,joint1,revolute,0,0,0.09675,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
link2,-0.142103136530544,-0.00611698386172908,-2.21255520682639E-07,0,0,0,0.881449589445835,0.000245333751801442,-4.09482504542638E-10,-9.52265492667429E-07,0.00445067112465592,2.00300423395815E-10,0.00440854107668371,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link2.STL,,link2-1,link2,axis2,joint2,revolute,0,0,0.0465,0,0,0,link1,0,-1,0,0,0,0,0,,,,,,,,
link3,0.0865646239949736,0.00309208147654362,0.030017016764328,0,0,0,1.00694923257859,0.000337427625651086,-6.43686414640372E-08,-8.61679680256924E-05,0.00166501776374208,1.31608746122513E-08,0.00151365994131753,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link3.STL,,link3-1,link3,axis3,joint3,revolute,-0.285,-0.002625,0,0,0,0,link2,0,-1,0,0,0,0,0,,,,,,,,
link4,0.0357667693310503,0.00104537160417653,0.0370000003943838,0,0,0,0.234619484821588,6.1513144169476E-05,2.18117431761615E-08,-5.99720640977153E-06,7.61026097078983E-05,-4.36633691764001E-08,9.1466608622033E-05,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link4.STL,,link4-1,link4,axis4,joint4,revolute,0.24818,0,0.0528,0,0,0,link3,0,-1,0,0,0,0,0,,,,,,,,
link5,0.00208182014816196,-2.55233148105451E-06,-0.0297839672396585,0,0,0,0.139792303373521,5.35687990605726E-05,3.25071022513569E-08,-1.05886822661539E-08,3.60323599904865E-05,2.70153997620663E-08,3.82310887138782E-05,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link5.STL,,link5-1,link5,axis5,joint5,revolute,0.062759,0.002625,0.041,0,0,0,link4,0,0,1,0,0,0,0,,,,,,,,
link6,-0.0946999959882355,9.6085535390097E-05,-0.00192973713165492,0,0,0,0.300269757195236,0.000167117788800261,-1.19304677152996E-08,-6.31313206814935E-09,0.00010124808304164,2.29145183005528E-06,0.000130572191769325,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ragtime_Willow_description/meshes/link6.STL,,link6-1,link6,axis6,joint6,revolute,0.18848,-7.8693E-05,-0.034078,0,0,0,link5,-1,0,0,0,0,0,0,,,,,,,,
